start_time,end_time,sleep_stage
00:56,01:08,Deep
01:08,01:41,Awake
01:41,02:03,Deep
02:03,02:08,Light
02:08,02:18,Deep
02:18,02:26,Light
02:26,02:36,Deep
02:36,02:58,Awake
02:58,02:59,REM
02:59,03:23,Deep
03:23,03:29,Light
03:29,03:56,Deep
03:56,04:02,Awake
04:02,04:38,Deep
04:38,04:50,Light
04:50,05:01,Deep
05:01,05:09,Light
05:09,05:20,Deep
05:20,05:39,Light
05:39,06:33,Deep
06:33,06:44,Light
06:44,07:04,Deep
07:04,07:05,REM
07:05,07:20,Deep
07:20,07:30,Light
07:30,07:47,Deep
07:47,07:48,REM
07:48,08:00,Deep
