start_time,end_time,sleep_stage
21:44,21:55,Deep
21:55,21:57,REM
21:57,22:23,Deep
22:23,22:31,Awake
22:31,22:35,REM
22:35,22:42,Deep
22:42,22:56,Awake
22:56,22:57,REM
22:57,23:57,Deep
23:57,23:59,REM
23:59,00:19,Deep
00:19,00:55,Awake
00:55,02:02,Deep
02:02,02:12,Awake
02:12,02:13,REM
02:13,03:28,Deep
03:28,03:43,Light
03:43,04:05,Deep
04:05,04:21,Light
04:21,04:46,Deep
04:46,04:55,Awake
04:55,05:06,Deep
05:06,05:09,REM
05:09,05:19,Deep
05:19,05:44,Light
05:44,06:17,Deep
06:17,06:26,Light
06:26,06:32,Deep
06:32,06:33,REM
06:33,07:18,Deep
