start_time,end_time,sleep_stage
01:18,01:19,Light
01:19,01:55,Deep
01:55,01:57,Awake
01:57,03:19,Light
03:19,03:51,Deep
03:51,03:52,Awake
03:52,04:34,Light
04:34,04:35,Awake
04:35,05:24,Light
05:24,05:43,REM
05:43,05:44,Awake
05:44,06:28,Light
06:28,06:34,Awake
06:34,07:02,Light
07:02,07:22,REM
07:22,08:27,Light
08:27,08:51,REM
