start_time,end_time,sleep_stage
22:13,22:23,Light
22:23,22:35,Deep
22:35,22:47,Light
22:47,22:59,Awake
22:59,23:09,Light
23:09,23:47,Deep
23:47,00:08,Light
00:08,00:41,Deep
00:41,00:46,Light
00:46,01:01,REM
01:01,01:23,Light
01:23,01:35,Deep
01:35,02:04,Light
02:04,02:31,REM
02:31,03:39,Light
03:39,04:03,Deep
04:03,04:36,Light
04:36,04:56,REM
04:56,04:57,Awake
04:57,05:50,Light
05:50,06:19,REM
06:19,06:29,Light
06:29,07:26,REM
07:26,07:33,Light
07:33,07:34,Deep
07:34,07:41,Light
07:41,07:42,Deep
07:42,07:44,Light
07:44,07:46,Deep
07:46,07:51,Light
07:51,07:52,Deep
07:52,07:53,Light
07:53,07:57,Deep
07:57,08:02,Light
08:02,08:03,Deep
08:03,08:04,Light
08:04,08:08,Deep
08:08,08:12,Light
08:12,08:14,Deep
08:14,08:17,Light
08:17,08:18,Deep
08:18,08:21,Light
08:21,08:22,Deep
08:22,08:23,Light
08:23,08:25,Deep
08:25,08:30,Light
08:30,08:34,Deep
08:34,08:35,Light
08:35,08:40,Deep
08:40,08:44,Light
08:44,08:50,Deep
08:50,08:51,Light
08:51,08:59,Deep
08:59,09:16,Light
