start_time,end_time,sleep_stage
23:00,23:07,Deep
23:07,23:46,Awake
23:46,23:53,Deep
23:53,23:54,REM
23:54,00:29,Deep
00:29,00:30,REM
00:30,00:44,Deep
00:44,00:54,REM
00:54,01:04,Deep
01:04,01:22,Awake
01:22,01:44,Deep
01:44,01:49,Awake
01:49,02:08,Deep
02:08,02:10,REM
02:10,02:13,Deep
02:13,02:15,REM
02:15,02:16,Deep
02:16,02:23,Light
02:23,03:03,Deep
03:03,03:23,Awake
03:23,03:43,Deep
03:43,03:44,REM
03:44,04:01,Deep
04:01,04:22,Light
04:22,04:30,REM
04:30,04:43,Deep
04:43,04:58,Light
04:58,05:09,Deep
05:09,05:17,Light
05:17,05:50,Deep
05:50,05:52,REM
05:52,05:58,Deep
05:58,06:21,Light
06:21,06:22,REM
06:22,06:28,Deep
06:28,06:36,Light
